legacy_path	v2_path	scientific_role	legacy_commit_sha	replacement_status	accepted_v2_run_id	validation_status	downstream_consumers	retirement_status	notes
vmr-analysis/	01_vmr_catalog/	VMR discovery and per-VMR methylation phenotypes	018e2b897	validated_replacement	vmrcat-AA-caudate-20260816;vmrcat-AA-dlpfc-20260816;vmrcat-AA-hippocampus-20260816;vmrcat-all_individuals-caudate-20260816;vmrcat-all_individuals-dlpfc-20260816;vmrcat-all_individuals-hippocampus-20260816	accepted_all_five_criteria	02_local_genetic_variance;03_local_snp_prediction;04_repeat_repressive_architecture;05_cpg_meqtl_burden;meqtl-validation/*	retain	V1 invalidates all legacy VMR sets. Accepted 2026-08-16, ALL_FIVE_CRITERIA_PASS on all six runs (AA primary n=153/118/117, 11530/9572/9497 VMRs; all_individuals sensitivity n=282/173/177). The vmrcatqc-*-20260826-a refresh runs re-run QC only on the same VMR calls and carry vmr_set_id forward unchanged, so they are not separately accepted. Module 01 does not write a decision field to manifest.tsv; the README table is the authority. Open (F14): qc/exclusions.tsv was produced in none of the six runs, so the AGENTS.md 7.1 exclusion table and sex-chromosome manifest are still outstanding
calibrated-simulation-analysis/	02_local_genetic_variance/	Relative local SNP contribution score; absolute-PVE calibration audit	018e2b897	validated_replacement	lgv-AA-caudate-rescore-20260913;lgv-AA-dlpfc-rescore-20260913;lgv-AA-hippocampus-rescore-20260913	passed_relative_ordering_failed_absolute_pve	04_repeat_repressive_architecture;05_cpg_meqtl_burden;09_schizophrenia_risk_application	retain	12,960 zero-overlap simulations: Spearman 0.796 passes relative use; 6/14 absolute-PVE gates fail; decision lgv-joint-pve-decision-20260821a; score definition locked; active observed pipeline reordered 00..06; 61 superseded scripts archived without deletion; observed-score runs accepted 2026-09-17, PASS_RELATIVE_SCORE_OBSERVED_QC (recorded in each run manifest as observed_score_decision). The three AA rescore runs are listed here because they are what Modules 04, 05, 09, 09b and 10 consume; 15 runs are accepted in total across discovery arms, donor-group cells and n118 replicates -- see 02_local_genetic_variance/README.md 'Accepted runs'. replacement_status is validated_replacement for the RELATIVE axis only; validation_status keeps failed_absolute_pve because the absolute-PVE half is retired, not repaired (AGENTS.md 7.2)
local-snp-prediction/	03_local_snp_prediction/	Elastic-net local SNP prediction (secondary endpoint)	018e2b897	validated_replacement	lsp-AA-caudate-20260825;lsp-AA-dlpfc-20260825;lsp-AA-hippocampus-20260825	accepted_end_to_end_oof	04_repeat_repressive_architecture;05_cpg_meqtl_burden;sensitivity-analysis/;environmental-analysis/	retain	E1: r_squared_cv is in-sample (~0.85 vs ~0.01 held-out); needs end-to-end OOF rebuild. Accepted 2026-08-28, PASS_OOF_PREDICTION_QC on the three AA runs; 12 runs accepted in total including six donor-group cells and three n118 replicates -- see 03_local_snp_prediction/README.md. r2_pred_oof is the end-to-end out-of-fold replacement for r_squared_cv and negative values are retained. Known-stale artefact (F13): all nine sealed runs predating 2026-09-23 carry a task_failures.tsv listing 105-5010 tasks from a superseded attempt beside a reconciliation reporting zero failures; the accepted attempt had none, and _m/ is immutable so it cannot be cleared.
local-snp-prediction/oof_diagnostic/	03_local_snp_prediction/	OOF diagnostic that established E1	018e2b897	validated_replacement	lsp-AA-caudate-20260825;lsp-AA-dlpfc-20260825;lsp-AA-hippocampus-20260825	accepted_end_to_end_oof	none	retain	Untracked; 200 VMRs/region; retain as evidence for the E1 write-up. Superseded by the accepted Module 03 runs, which report honest end-to-end out-of-fold r2_pred_oof for every VMR rather than 200 per region. Retained as evidence for the E1 write-up, not for want of a replacement.
meqtl-validation/07_repeat_mappability_sensitivity/	04_repeat_repressive_architecture/	Repeat and mappability robustness	018e2b897	validated_replacement	rra-AA-caudate-20260906;rra-AA-dlpfc-20260906;rra-AA-hippocampus-20260906	accepted_qualified_claims	11_integrated_manuscript_outputs	retain	Accepted 2026-09-08. Predictor is local_snp_contribution_score_z. Quiescent shared 3/3; LINE/L1 DLPFC+hippocampus (caudate set aside, batch-confounded); H3K9me3 below shared gate 2/3. Caudate GC-entangled for LINE/L1 and H3K9me3.
meqtl-validation/11_celltype_compartment_sensitivity/	04_repeat_repressive_architecture/	Cell-composition sensitivity	018e2b897	validated_replacement	rra-AA-caudate-20260906;rra-AA-dlpfc-20260906;rra-AA-hippocampus-20260906	accepted_qualified_claims	11_integrated_manuscript_outputs	retain	Same accepted 20260906 AA runs. Cell-composition PCs are a sensitivity arm (adjust_cell_composition), not the primary; low_cell_composition subset arm unchanged.
meqtl-validation/01_cpg_meqtl_mapping/	05_cpg_meqtl_burden/	CpG-level cis-meQTL mapping	018e2b897	validated_replacement	cmb-AA-caudate-20260825;cmb-AA-dlpfc-20260825;cmb-AA-hippocampus-20260825	accepted_convergent_evidence	07_transcription_splicing_coupling;09_schizophrenia_risk_application	retain	Requires corrected CpG-to-VMR membership from 01. Accepted 2026-08-28, PASS_CPG_MEQTL_BURDEN_QC; CpG-to-VMR membership is keyed to the accepted vmr_set_id. Open (F9): whether the executed covariate model or the locked M3a is authoritative is undecided; if the lock wins, Module 05 reruns and these run IDs are superseded, and 07, 08, 09 and 11 follow.
meqtl-validation/02_vmr_meqtl_burden/	05_cpg_meqtl_burden/	VMR meQTL burden gradient	018e2b897	validated_replacement	cmb-AA-caudate-20260825;cmb-AA-dlpfc-20260825;cmb-AA-hippocampus-20260825	accepted_convergent_evidence	11_integrated_manuscript_outputs	retain	Genomic inflation must be resolved before figure freeze. Accepted 2026-08-28, PASS_CPG_MEQTL_BURDEN_QC. Genomic inflation is resolved: the gate is computed on distal cis pairs, not all cis pairs, and caudate lambda is 1.139. Primary predictor is the continuous local_snp_contribution_score_z; quartile contrasts are secondary. Open (F9) as for the mapping row.
meqtl-validation/06_transcription_splicing_integration/	07_transcription_splicing_coupling/	Expression and splicing coupling	018e2b897	validated_replacement	tsc-AA-caudate-20260902;tsc-AA-dlpfc-20260902;tsc-AA-hippocampus-20260902	accepted_expression_coupling_psi_heterogeneous	09_schizophrenia_risk_application;11_integrated_manuscript_outputs	retain	Accepted 2026-09-08 AA tsc-AA-*-20260902. Nearest-gene expression coupling in all three regions; PSI strong in caudate, thin in DLPFC, null in hippocampus. ABC underpowered. LIBD eQTL arm off (see 09_libd_eqtl_mapping row). No mediation claim.
meqtl-validation/09_libd_eqtl_mapping/	07_transcription_splicing_coupling/	LIBD eQTL support	018e2b897	not_started		not_validated	09_schizophrenia_risk_application	retain	Genome-wide eQTL QC repair still deferred
